drug_name,is_exclusion
3chenes asthe 1000,True
3chenes bois bande,True
3chenes efirub coup de froid,True
3chenes flatuplexin,True
3chenes myocalm c special crampes,True
3chenes myocalm contractions musculaires,True
3chenes osteophytum,True
3chenes somniplex,True
3chenes spray nasal 7 actifs,True
able spacer,True
ac fusidique,False
acarilbial,True
acefyl,False
acelodon p,False
acerola,True
acerumen,False
acfol,True
aciclovir aciclovir arrow,False
acidaxil,False
acide fusidique,False
acide niflumique,False
aciloc,False
aclav,False
aclav e,False
aclav enf,False
aclav sach,False
acretin ou tretinex,True
acticarbine,False
actimag,False
actinac,False
actisoufre,True
actisoufre nasal,False
active denk,True
acumol,False
acupan,False
acupan ou tramadol,False
acyclovir,False
aderma,True
adione,False
adione mg,False
adna,True
adna actif sbb,True
adna active,True
adna active de,True
adna active denk,True
adna allaitement,True
adna antiplaque,True
adna c,True
adna ca,True
adna de,True
adna diabete,True
adna essentiel,True
adna essentiels,True
adna funugrec,True
adna ginseng,True
adna grossesse,True
adna vit,True
adna vit c,True
adna vit c calcium,True
adna vitamine,True
adna vitamine c,True
adoxin,False
adrien gagnon calcium extra fort avec vitamine d,True
advil,False
advilmed,False
advilsirop,False
aerius,False
aerius ou genset,False
aerius pellic,False
aero chambre,True
afine,False
afine c,False
aftagel,False
aftagel buccal,False
aftagelpommade,False
age,True
agiderm,False
agiderm pommmade,False
aiguille novofine mm,True
aiguilles novotwist,True
airlix,False
airtal,False
ajouter,True
akerol,False
albact,False
albela,False
alben,True
alben gh,True
alben gsk,True
albendazole,True
albendazole cpe,True
alcof c,False
alcool 70 %,True
alcool bleu,True
alcool iode 1%,True
alcool pediatre,True
alcool steril 70 %,True
aldactone,False
aldomet,False
aldomet enrobe,False
alerbix,False
alergosone,False
alfamox,False
alginate arow,False
alginate arrow,False
alginate de sodium,False
alginate de sodium arrow,False
alginate sodium,False
algofene,False
allerbix,False
allercet,False
allergiflash,False
allergine,False
allergosone,False
allergosone buvab,False
allergyl,False
allopurinol,False
almax,False
almax sh,False
almox,False
alofact,False
alphagan,False
alphavit,True
alpraz,True
altraflam,False
alugosone,False
alvityl,True
alvityl tonus,True
alvityl vitalite,True
alzol,True
amaday,False
amaday pl,False
amapine,False
amarel,False
ambrolite,False
ambrolite gs,False
amfocin,False
amifer,True
aminopep,True
amitron,False
amlo vh,False
amlodipine,False
amlodipine bgr,False
amlodipine gh,False
amlong,False
amlopamide,False
amloperin,False
amodipine,False
amox,False
amox acide clav,False
amox clav,False
amox clav denk,False
amox disp,False
amox disper,False
amox gh,False
amoxi,False
amoxi clav,False
amoxi denk,False
amoxicillin,False
amoxicilline,False
amoxicilline arrow pellic,False
amoxicilline creat,False
amoxicillline,False
amoxiclav denk,False
ampi,False
amplex,False
amtiba,False
amuchina,True
amva denk,False
anacaps expert,True
andol,False
andol c doliprane vit c,False
angi,False
anginovag,False
anginovag collutoire,False
angiovag,False
angispray,False
angyspray,False
anomex,False
anomex kit,False
antadys,False
antalgex,False
antalgex t,False
anthelios fluid,True
anticid,False
antigone,False
apazide,False
apdrops,False
apdrops dx,False
apdyl,False
apdyl h,False
apetamin,True
apexime,False
apflu,False
apflu sache,False
apidra,False
apifen,False
appetamine,True
appetine,True
apramol,False
aprofort,False
aprovel,False
aqualarm,False
aqualarm ud,False
aqualarm ud intensive,False
aqualarm up,False
aqualarm up hyfresh,False
aqualarm up intensive,False
aqualarm up ou larmabak,False
arcoxia,False
arphos,True
artane,False
artefan,False
artefan artrim,False
artegen,False
artelac,False
artiflex,False
artrim,False
artrim gh,False
ascabiol,False
ascard,False
ascofer,True
asmocid,False
asmoflam,False
aspegic,False
aspegic pdre or,False
aspegic sach,False
aspegic sacht,False
aspirin cardio,False
aspirine,False
aspirine cardio,False
aspirine cardio ou aspirine dose,False
aspirine upsa,False
aspirine upsa vitaminee c tamponnee effervescente,True
astaph,False
asthalex,False
asthe,True
astyfer,True
astymin,True
astymin c,True
astymin cgouttes,True
astymin sn,True
asu denk,False
atarax,True
atarax pellic litacold sommeil,True
atelle du genou droit,True
atepadene,False
atoderm huile de douche,True
atorfit,False
atropine,False
attelle chevillere ligastrap,True
attelle poignet valva,True
augmentin,False
augmentin enft,False
aureo,False
aureomycine,False
auricularum,False
auromox duo,False
avamys,False
avas,False
avaxim,False
avazir,False
avene cspf t,True
avene fluid,True
avlocardyl,False
axaban denk,False
az,False
azarga,False
azibact,False
azicur,False
azicure,False
azicure ml,False
azient,False
aziet,False
azilide,False
azit,False
azithrin,False
azithrine,False
azithro,False
azithro gh,False
azithro mp,False
azithromycine,False
azithromycine dose unique,False
azitrine,False
azitro,False
azitro gh,False
azix,False
azixs,False
azole - 4 %,True
azopt,False
azro,False
azyter,False
azythro,False
babysoin,True
bacqure,False
bacqure poudre perfuseur,False
bactoclav,False
bactoclav poudre,False
bactox aceclav,False
bactrim,False
bain de bouche,True
bande,True
bande de gaz,True
bande gaz,True
bande velpeau bandelette accu chech,True
bandelette c,True
bandelettes accu chek,True
baneocin,False
baneocin pmd,False
baneocin poudre,False
bariederm d'uriage,True
bas de contention,True
baume saint bernard,True
becotide,False
becozyme,True
bekracine,False
bepanthen,False
bepanthene pmmde,False
berocca energie,True
berroca,True
betaderm,False
betadine,True
betadine de,True
betadine dermique,True
betadine gyneco,True
betadine gyneco necessaires,True
betadine gynecologique avec necessaire,True
betadine jaune,True
betadine rouge,True
betadine scrub,True
betadine vert,True
betadine verte,True
betamethasone arrow,False
betamethasone gh,False
betaserc,False
betastene,False
betastenegouttes,False
bethametasone,False
betnovex,False
bi oragin,False
bi orangin,False
biafine,False
biakof,False
biba,True
biba multivit,True
biberon,True
biberon en verre,True
biberon luc et lea,True
bicar,True
bicarbonate,True
bicarbonate de sodium,True
bicarbonate de sodium poudre,True
bicarbonate de soude,True
bidontogyl,False
bilaxten,False
bilor,False
binozyt ou azicure,False
bio rithmo,True
biobalance lumiskin,True
biobalance super glow,True
biofar,True
biofar ace,True
biofar ca,True
